Instance;Mode;Algorithm;Run;K;Time
david.col;random;TS;9;11;0.0886636666666667
david.col;random;HS;9;12;0.104751625
david.col;random;TS;10;11;0.0795415
david.col;random;HS;10;12;0.102503291666667
huck.col;greedy;TS;1;11;0.0208657083333333
huck.col;greedy;HS;1;11;0.0275235
huck.col;greedy;TS;2;11;0.0199875
huck.col;greedy;HS;2;11;0.0262535
huck.col;greedy;TS;3;11;0.020103875
huck.col;greedy;HS;3;11;0.0262035833333333
huck.col;greedy;TS;4;11;0.0204911666666667
huck.col;greedy;HS;4;11;0.0265414166666667
huck.col;greedy;TS;5;11;0.0200894583333333
huck.col;greedy;HS;5;11;0.0260091666666667
huck.col;greedy;TS;6;11;0.0201237916666667
huck.col;greedy;HS;6;11;0.025970625
huck.col;greedy;TS;7;11;0.019914125
huck.col;greedy;HS;7;11;0.0264990416666667
huck.col;greedy;TS;8;11;0.0201097916666667
huck.col;greedy;HS;8;11;0.0263879166666667
huck.col;greedy;TS;9;11;0.0200683333333333
huck.col;greedy;HS;9;11;0.0263713333333333
huck.col;greedy;TS;10;11;0.0201772083333333
huck.col;greedy;HS;10;11;0.026291375
huck.col;random;TS;1;11;0.0399680833333333
huck.col;random;HS;1;11;0.052128625
huck.col;random;TS;2;11;0.043458875
huck.col;random;HS;2;11;0.0502672916666667
huck.col;random;TS;3;11;0.0441659166666667
huck.col;random;HS;3;11;0.0543482916666667
huck.col;random;TS;4;11;0.0414982083333333
huck.col;random;HS;4;11;0.05506925
huck.col;random;TS;5;11;0.0415001666666667
huck.col;random;HS;5;11;0.055052375
huck.col;random;TS;6;11;0.0400857916666667
huck.col;random;HS;6;11;0.0530152083333333
huck.col;random;TS;7;11;0.039383
huck.col;random;HS;7;11;0.0547087916666667
huck.col;random;TS;8;11;0.03830825
huck.col;random;HS;8;11;0.0527982083333333
huck.col;random;TS;9;11;0.0368284583333333
huck.col;random;HS;9;11;0.0522032083333333
huck.col;random;TS;10;11;0.0399611666666667
huck.col;random;HS;10;11;0.0526404166666667
myciel5.col;greedy;TS;1;6;0.00943604166666667
myciel5.col;greedy;HS;1;6;0.0124361666666667
myciel5.col;greedy;TS;2;6;0.00943158333333333
myciel5.col;greedy;HS;2;6;0.012337
myciel5.col;greedy;TS;3;6;0.00930716666666667
myciel5.col;greedy;HS;3;6;0.01235725
myciel5.col;greedy;TS;4;6;0.00931654166666667
myciel5.col;greedy;HS;4;6;0.0123602916666667
myciel5.col;greedy;TS;5;6;0.00933908333333333
myciel5.col;greedy;HS;5;6;0.01234875
myciel5.col;greedy;TS;6;6;0.00924891666666667
myciel5.col;greedy;HS;6;6;0.0127252083333333
myciel5.col;greedy;TS;7;6;0.00935479166666667
myciel5.col;greedy;HS;7;6;0.01251575
myciel5.col;greedy;TS;8;6;0.009363
myciel5.col;greedy;HS;8;6;0.0125340833333333
myciel5.col;greedy;TS;9;6;0.00942258333333333
myciel5.col;greedy;HS;9;6;0.0124569583333333
myciel5.col;greedy;TS;10;6;0.00938058333333333
myciel5.col;greedy;HS;10;6;0.0124590833333333
myciel5.col;random;TS;1;6;0.0166846666666667
myciel5.col;random;HS;1;6;0.0275101666666667
myciel5.col;random;TS;2;6;0.0164637083333333
myciel5.col;random;HS;2;6;0.0281185416666667
myciel5.col;random;TS;3;6;0.0155393333333333
myciel5.col;random;HS;3;6;0.0276989583333333
myciel5.col;random;TS;4;6;0.0161140833333333
myciel5.col;random;HS;4;6;0.02759375
myciel5.col;random;TS;5;6;0.0143810416666667
myciel5.col;random;HS;5;6;0.0266941666666667
myciel5.col;random;TS;6;6;0.0157920833333333
myciel5.col;random;HS;6;6;0.0299605416666667
myciel5.col;random;TS;7;6;0.0146495833333333
myciel5.col;random;HS;7;6;0.0286352916666667
myciel5.col;random;TS;8;6;0.0153997916666667
myciel5.col;random;HS;8;6;0.0325268333333333
myciel5.col;random;TS;9;6;0.0149624166666667
myciel5.col;random;HS;9;6;0.0277324166666667
myciel5.col;random;TS;10;6;0.0171309166666667
myciel5.col;random;HS;10;6;0.027872625
games120.col;greedy;TS;1;9;0.0645999583333333
games120.col;greedy;HS;1;9;0.08214725
games120.col;greedy;TS;2;9;0.0656822916666667
games120.col;greedy;HS;2;9;0.0819837916666667
games120.col;greedy;TS;3;9;0.0659667083333333
games120.col;greedy;HS;3;9;0.0816360833333333
games120.col;greedy;TS;4;9;0.0612418333333333
games120.col;greedy;HS;4;9;0.0810893333333333
games120.col;greedy;TS;5;9;0.0596182916666667
games120.col;greedy;HS;5;9;0.081505
games120.col;greedy;TS;6;9;0.0653747083333333
games120.col;greedy;HS;6;9;0.0821182083333333
games120.col;greedy;TS;7;9;0.0640429166666667
games120.col;greedy;HS;7;9;0.0807502083333333
