Iteration,TS_Mean,TS_Std,HS_Default_Mean,HS_Default_Std,HS_Tuned_Mean,HS_Tuned_Std
1,21.3,4.19126074906664,8.5,3.24037034920393,8.5,3.24037034920393
2,18.1,3.31494930412049,8.5,3.24037034920393,8.5,3.24037034920393
3,15.2,2.65832027165025,8.5,3.24037034920393,8.5,3.24037034920393
4,13,2,8.5,3.24037034920393,8.5,3.24037034920393
5,11.2,1.47572957474524,8.5,3.24037034920393,8.5,3.24037034920393
6,10,1.33333333333333,8.5,3.24037034920393,8.5,3.24037034920393
7,9.1,1.19721899973786,8.5,3.24037034920393,8.5,3.24037034920393
8,8.1,1.19721899973786,8.5,3.24037034920393,8.5,3.24037034920393
9,7.5,0.849836585598797,8.5,3.24037034920393,8.5,3.24037034920393
10,7.2,0.918936583472681,8.5,3.24037034920393,8.5,3.24037034920393
11,6.9,0.875595035770913,8.5,3.24037034920393,8.5,3.24037034920393
12,6.9,0.875595035770913,8.5,3.24037034920393,8.5,3.24037034920393
13,6.9,0.875595035770913,8.5,3.24037034920393,8.5,3.24037034920393
14,6.7,0.948683298050514,8.5,3.24037034920393,8.5,3.24037034920393
15,6.6,1.07496769977314,8.5,3.24037034920393,8.5,3.24037034920393
16,6.4,1.26491106406735,8.5,3.24037034920393,8.5,3.24037034920393
17,6.4,1.26491106406735,8.5,3.24037034920393,8.5,3.24037034920393
18,6.3,1.41813649241218,8.5,3.24037034920393,8.5,3.24037034920393
19,6,1.56347191994114,8.5,3.24037034920393,8.5,3.24037034920393
20,5.9,1.66332999331662,8.5,3.24037034920393,8.5,3.24037034920393
21,5.7,1.76698110409314,8.5,3.24037034920393,8.5,3.24037034920393
22,5.7,1.76698110409314,8.5,3.24037034920393,8.5,3.24037034920393
23,5.6,1.95505043981536,8.5,3.24037034920393,8.5,3.24037034920393
24,5.4,2.17050941281329,8.5,3.24037034920393,8.5,3.24037034920393
25,5.4,2.17050941281329,8.5,3.24037034920393,8.5,3.24037034920393
26,5.4,2.17050941281329,8.5,3.24037034920393,8.5,3.24037034920393
27,5.3,2.35937844922485,8.5,3.24037034920393,8.5,3.24037034920393
28,5.3,2.35937844922485,8.5,3.24037034920393,8.5,3.24037034920393
29,5.2,2.48551358430763,8.5,3.24037034920393,8.5,3.24037034920393
30,5,2.66666666666667,8.5,3.24037034920393,8.5,3.24037034920393
31,5,2.66666666666667,8.5,3.24037034920393,8.5,3.24037034920393
32,5,2.66666666666667,8.5,3.24037034920393,8.5,3.24037034920393
33,4.9,2.7264140062238,8.5,3.24037034920393,8.5,3.24037034920393
34,4.9,2.7264140062238,8.5,3.24037034920393,8.5,3.24037034920393
35,4.9,2.7264140062238,8.5,3.24037034920393,8.5,3.24037034920393
