Iteration,TS_Mean,TS_Std,HS_Default_Mean,HS_Default_Std,HS_Tuned_Mean,HS_Tuned_Std
1,21.2,2.0976176963403,10.5,2.27303028283098,10.5,2.27303028283098
2,18.9,1.72884033065199,10.5,2.27303028283098,10.5,2.27303028283098
3,17.1,1.3703203194063,10.5,2.27303028283098,10.5,2.27303028283098
4,15.8,1.31656117720877,10.5,2.27303028283098,10.5,2.27303028283098
5,14.8,1.31656117720877,10.5,2.27303028283098,10.5,2.27303028283098
6,13.8,1.31656117720877,10.5,2.27303028283098,10.5,2.27303028283098
7,12.8,1.31656117720877,10.5,2.27303028283098,10.5,2.27303028283098
8,11.8,1.31656117720877,10.5,2.27303028283098,10.5,2.27303028283098
9,10.8,1.31656117720877,10.5,2.27303028283098,10.5,2.27303028283098
10,10,1.05409255338946,10.5,2.27303028283098,10.5,2.27303028283098
11,9.1,1.10050493461461,10.5,2.27303028283098,10.5,2.27303028283098
12,8.6,1.26491106406735,10.5,2.27303028283098,10.5,2.27303028283098
13,8.3,1.05934990547138,10.5,2.27303028283098,10.5,2.27303028283098
14,7.8,1.13529242439509,10.5,2.27303028283098,10.5,2.27303028283098
15,7.5,1.26929551764398,10.5,2.27303028283098,10.5,2.27303028283098
16,7.1,0.994428926011753,10.5,2.27303028283098,10.5,2.27303028283098
17,7,1.05409255338946,10.5,2.27303028283098,10.5,2.27303028283098
18,6.6,0.843274042711568,10.5,2.27303028283098,10.5,2.27303028283098
19,6.6,0.843274042711568,10.5,2.27303028283098,10.5,2.27303028283098
20,6.4,1.07496769977314,10.5,2.27303028283098,10.5,2.27303028283098
21,6,0.942809041582063,10.5,2.27303028283098,10.5,2.27303028283098
22,5.7,0.948683298050514,10.5,2.27303028283098,10.5,2.27303028283098
23,5.5,0.97182531580755,10.5,2.27303028283098,10.5,2.27303028283098
24,5.3,0.948683298050514,10.5,2.27303028283098,10.5,2.27303028283098
25,5.2,0.918936583472681,10.5,2.27303028283098,10.5,2.27303028283098
26,5.1,0.994428926011753,10.5,2.27303028283098,10.5,2.27303028283098
27,4.9,0.994428926011753,10.5,2.27303028283098,10.5,2.27303028283098
28,4.5,1.08012344973464,10.5,2.27303028283098,10.5,2.27303028283098
29,4.3,1.15950180872841,10.5,2.27303028283098,10.5,2.27303028283098
30,4.1,1.3703203194063,10.5,2.27303028283098,10.5,2.27303028283098
31,4,1.4142135623731,10.5,2.27303028283098,10.5,2.27303028283098
32,3.9,1.44913767461894,10.5,2.27303028283098,10.5,2.27303028283098
33,3.8,1.54919333848297,10.5,2.27303028283098,10.5,2.27303028283098
34,3.8,1.54919333848297,10.5,2.27303028283098,10.5,2.27303028283098
35,3.6,1.57762127549323,10.5,2.27303028283098,10.5,2.27303028283098
36,3.5,1.58113883008419,10.5,2.27303028283098,10.5,2.27303028283098
37,3.3,1.76698110409314,10.5,2.27303028283098,10.5,2.27303028283098
38,3.2,1.75119007154183,10.5,2.27303028283098,10.5,2.27303028283098
39,3.2,1.75119007154183,10.5,2.27303028283098,10.5,2.27303028283098
40,3,1.88561808316413,10.5,2.27303028283098,10.5,2.27303028283098
41,3,1.88561808316413,10.5,2.27303028283098,10.5,2.27303028283098
42,2.9,1.96920739836559,10.5,2.27303028283098,10.5,2.27303028283098
43,2.9,1.96920739836559,10.5,2.27303028283098,10.5,2.27303028283098
44,2.8,1.98885785202351,10.5,2.27303028283098,10.5,2.27303028283098
45,2.8,1.98885785202351,10.5,2.27303028283098,10.5,2.27303028283098
46,2.8,1.98885785202351,10.5,2.27303028283098,10.5,2.27303028283098
47,2.7,2.00277585143997,10.5,2.27303028283098,10.5,2.27303028283098
48,2.7,2.00277585143997,10.5,2.27303028283098,10.5,2.27303028283098
49,2.5,2.17306746840088,10.5,2.27303028283098,10.5,2.27303028283098
50,2.3,2.31180545125329,10.5,2.27303028283098,10.5,2.27303028283098
51,2.3,2.31180545125329,10.5,2.27303028283098,10.5,2.27303028283098
52,2.2,2.34757558155453,10.5,2.27303028283098,10.5,2.27303028283098
53,2.2,2.34757558155453,10.5,2.27303028283098,10.5,2.27303028283098
54,2,2.35702260395516,10.5,2.27303028283098,10.5,2.27303028283098
55,2,2.35702260395516,10.5,2.27303028283098,10.5,2.27303028283098
56,1.9,2.33095116493961,10.5,2.27303028283098,10.5,2.27303028283098
57,1.9,2.33095116493961,10.5,2.27303028283098,10.5,2.27303028283098
58,1.7,2.40601099101581,10.5,2.27303028283098,10.5,2.27303028283098
59,1.7,2.40601099101581,10.5,2.27303028283098,10.5,2.27303028283098
60,1.7,2.40601099101581,10.5,2.27303028283098,10.5,2.27303028283098
61,1.6,2.27058484879019,10.5,2.27303028283098,10.5,2.27303028283098
62,1.6,2.27058484879019,10.5,2.27303028283098,10.5,2.27303028283098
63,1.6,2.27058484879019,10.5,2.27303028283098,10.5,2.27303028283098
64,1.6,2.27058484879019,10.5,2.27303028283098,10.5,2.27303028283098
65,1.6,2.27058484879019,10.5,2.27303028283098,10.5,2.27303028283098
66,1.6,2.27058484879019,10.5,2.27303028283098,10.5,2.27303028283098
67,1.6,2.27058484879019,10.5,2.27303028283098,10.5,2.27303028283098
68,1.6,2.27058484879019,10.5,2.27303028283098,10.5,2.27303028283098
69,1.4,2.36643191323985,10.5,2.27303028283098,10.5,2.27303028283098
70,1.4,2.36643191323985,10.5,2.27303028283098,10.5,2.27303028283098
71,1.3,2.26323269290239,10.5,2.27303028283098,10.5,2.27303028283098
72,1.3,2.26323269290239,10.5,2.27303028283098,10.5,2.27303028283098
73,1.3,2.26323269290239,10.5,2.27303028283098,10.5,2.27303028283098
74,1.3,2.26323269290239,10.5,2.27303028283098,10.5,2.27303028283098
75,1.3,2.26323269290239,10.5,2.27303028283098,10.5,2.27303028283098
76,1.3,2.26323269290239,10.5,2.27303028283098,10.5,2.27303028283098
77,1.2,2.20100986922922,10.5,2.27303028283098,10.5,2.27303028283098
78,1.2,2.20100986922922,10.5,2.27303028283098,10.5,2.27303028283098
79,1.2,2.20100986922922,10.5,2.27303028283098,10.5,2.27303028283098
