Instance;K;HMCR;PAR;Mean_FinalConflicts;Std_FinalConflicts;FeasibleRate_Pct;Mean_ConvIter;Mean_Time
le450_5a.col;10;0.7;0.1;8.2;4.26614580154031;0;NaN;0.314390158333333
le450_5a.col;10;0.7;0.3;10.4;2.70185121722126;0;NaN;0.312583316666667
le450_5a.col;10;0.7;0.5;10.4;2.70185121722126;0;NaN;0.314631541666667
le450_5a.col;10;0.85;0.1;6.2;5.80517010948;0;NaN;0.313357716666667
le450_5a.col;10;0.85;0.3;9.6;4.39317652729776;0;NaN;0.315112175
le450_5a.col;10;0.85;0.5;10.4;2.70185121722126;0;NaN;0.314164725
le450_5a.col;10;0.95;0.1;6;5.95818764390649;0;NaN;0.310036783333333
le450_5a.col;10;0.95;0.3;7.8;4.76445169982864;0;NaN;0.315874916666667
le450_5a.col;10;0.95;0.5;10.4;2.70185121722126;0;NaN;0.31613395
DSJC500.1.col;16;0.7;0.1;7;3.39116499156263;0;NaN;0.377544158333333
DSJC500.1.col;16;0.7;0.3;7;3.39116499156263;0;NaN;0.379438516666667
DSJC500.1.col;16;0.7;0.5;7;3.39116499156263;0;NaN;0.379937866666667
DSJC500.1.col;16;0.85;0.1;6.4;4.15932686861708;0;NaN;0.377162983333333
DSJC500.1.col;16;0.85;0.3;6.8;3.70135110466435;0;NaN;0.378986916666667
DSJC500.1.col;16;0.85;0.5;7;3.39116499156263;0;NaN;0.379683391666667
DSJC500.1.col;16;0.95;0.1;6;3.87298334620742;0;NaN;0.376214991666667
DSJC500.1.col;16;0.95;0.3;6.4;4.15932686861708;0;NaN;0.38005565
DSJC500.1.col;16;0.95;0.5;7;3.39116499156263;0;NaN;0.380814391666667
