Instance;Nodes;Edges;K;MaxIter;DeltaEval_Time;Naive_Time;Speedup_Factor;Naive_EvalCalls
myciel4.col;23;71;3;30;0.0218567361111111;0.00870381944444445;0.398221372129747;538.333333333333
queen13_13.col;169;3328;10;30;0.0268040694444444;1.60104858333333;59.7315488475268;39955
le450_5a.col;450;5714;9;30;0.0200793055555556;2.00055383333333;99.6326206500612;19435.6666666667
DSJC500.1.col;500;12458;15;30;0.0233718055555556;2.64250961111111;113.063990919734;21864.3333333333
